2025-08-15T06:12:00.767790 | [NEWS] Lancement boucle d'analyse des news…
2025-08-15T06:12:38.169193 | [NEWS] Aucun élément à analyser dans news_data, skip boucle
2025-08-15T06:21:02.073523 | [MARKET ANALYSIS] Régime détecté: Range/Scalping | Volatilité: 0.0722 | Tendance: 0.0005
2025-08-15T06:21:02.073972 | 🔈 Régime de marché détecté: Range/Scalping
2025-08-15T06:24:04.322354 | Démarrage cycle trading
2025-08-15T06:24:09.164486 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.09 | Score: 0.0896 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:09.284144 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: -0.1384 | Tech: -0.00 | AI: 0.15
2025-08-15T06:24:09.402993 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.12 | Score: 0.1247 | Tech: -0.00 | AI: 0.15
2025-08-15T06:24:09.521802 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: -0.1377 | Tech: -0.01 | AI: 0.15
2025-08-15T06:24:09.641492 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.27 | Score: -0.2736 | Tech: -0.00 | AI: 0.15
2025-08-15T06:24:09.760581 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.22 | Score: 0.2170 | Tech: 0.13 | AI: 0.15
2025-08-15T06:24:09.882586 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.18 | Score: 0.1847 | Tech: 0.00 | AI: 0.15
2025-08-15T06:24:10.005375 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.02 | Score: -0.0248 | Tech: 0.01 | AI: 0.15
2025-08-15T06:24:10.126922 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.26 | Score: 0.2602 | Tech: -0.00 | AI: 0.15
2025-08-15T06:24:10.249300 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.07 | Score: -0.0694 | Tech: 0.03 | AI: 0.15
2025-08-15T06:24:10.369964 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: 0.1521 | Tech: 0.15 | AI: 0.15
